Free Agents  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Garrett Mitchell CF | MIL ,383,56,95,55,24,4,12,43,39,118,17,4,.248,.322,.426,251
W ,"Luis Rengifo 2B,3B | MIL",416,55,115,86,18,3,8,46,27,73,14,7,.276,.324,.392,252
W ,"David Hamilton 2B,SS | MIL",324,45,79,54,14,2,9,38,25,77,27,7,.244,.300,.383,253
W ,"Nick Gonzales 2B,SS | PIT",504,60,143,100,27,6,10,54,29,98,3,2,.284,.326,.421,254
W ,"Casey Schmitt 1B,2B,3B | SF ",412,52,111,73,22,1,15,55,32,103,4,1,.269,.327,.437,255
W ,"Tim Tawa 1B,2B,LF,CF | ARI ",319,50,80,50,15,2,13,43,34,85,12,3,.251,.325,.433,256
W ,"Jake Bauers 1B,LF | MIL ",308,47,71,43,13,1,14,49,36,96,11,1,.231,.317,.416,257
W ,Alek Thomas CF | ARI ,458,55,113,79,20,3,11,44,27,125,9,5,.247,.293,.376,258
W ,Blaine Crim 1B | COL ,309,45,80,48,17,1,14,49,31,88,2,1,.259,.329,.456,259
W ,Rafael Marchan C | PHI,326,45,85,53,18,1,13,53,28,77,1,0,.261,.326,.442,260
W ,Sung-Mun Song 2B | SD ,319,44,88,60,18,1,9,40,25,64,8,3,.276,.334,.423,261
W ,Gary Sanchez C | MIL ,321,42,80,53,13,1,13,58,27,88,1,0,.249,.319,.417,262
W ,Graham Pauley 3B | MIA ,375,47,92,57,21,2,12,40,41,94,6,1,.245,.323,.408,264
W ,"Otto Kemp 1B,3B,LF | PHI ",322,43,80,51,17,1,11,45,26,89,5,4,.248,.316,.410,265
W ,Jonah Heim C | ATL,392,41,90,63,15,0,12,49,31,82,2,0,.230,.288,.360,270
W ,Henry Davis C | PIT,371,44,81,54,14,0,13,41,32,102,3,2,.218,.293,.361,271
W ,"Max Kepler LF,RF | PHI ",231,32,56,35,11,1,9,28,23,57,3,0,.242,.314,.416,274
W ,"Alex Freeland 2B,3B | LAD",192,26,49,32,9,2,6,24,19,49,3,1,.255,.327,.417,276
W ,"Jorge Mateo SS,CF | ATL",393,53,94,57,22,3,12,43,33,107,33,6,.239,.299,.402,283
W ,Mike Tauchman RF | NYM,424,69,119,77,24,3,15,55,55,108,4,1,.281,.370,.458,284
W ,Carlos Santana 1B | ARI,419,64,107,76,15,0,16,67,55,98,6,1,.255,.346,.406,285
W ,"Dylan Moore 1B,2B,3B,RF | PHI ",318,52,83,48,19,4,12,45,30,86,22,6,.261,.331,.459,286
W ,"Hye Seong Kim 2B,SS,CF | LAD ",388,50,109,78,19,2,10,47,28,96,19,4,.281,.333,.417,287
W ,Liover Peguero SS | PHI ,388,55,103,69,18,2,14,50,30,97,14,3,.266,.326,.430,288
W ,Kyle Karros 3B | COL ,465,71,123,88,21,2,12,57,49,123,6,1,.265,.342,.396,289
W ,"Will Benson LF,CF,RF | CIN",389,55,94,53,17,4,20,64,29,117,5,3,.242,.293,.460,290
W ,Jose Miranda 3B | SD ,430,52,130,88,25,5,12,58,22,81,3,0,.302,.341,.467,291
W ,Esteury Ruiz LF | MIA ,386,52,96,61,19,3,13,48,33,106,17,5,.249,.311,.414,292
W ,"Heriberto Hernandez LF,RF | MIA",381,55,99,63,19,2,15,59,39,118,6,3,.260,.333,.438,293
W ,Griffin Conine LF | MIA,421,58,109,64,27,3,15,52,38,121,7,1,.259,.324,.444,294
W ,Bryan De La Cruz LF | PHI ,393,52,100,64,18,1,17,57,30,115,6,2,.255,.309,.435,295
W ,"Robert Hassell CF,RF | WAS",477,61,115,80,20,2,13,53,32,134,11,2,.241,.293,.373,296
W ,"Alex Call LF,RF | LAD",367,59,104,68,23,4,9,50,52,77,6,2,.283,.380,.441,297
W ,Christopher Morel LF | MIA ,384,51,90,54,17,2,17,53,39,121,9,4,.234,.313,.422,298
W ,Luken Baker DH | ARI ,311,45,81,47,16,2,16,53,41,87,5,1,.261,.338,.479,300
W ,Jacob Young CF | WAS ,410,55,102,79,18,2,3,41,28,88,23,10,.249,.308,.324,301
W ,Enmanuel Valdez 1B | PIT,378,46,99,58,23,3,15,58,41,89,3,1,.262,.338,.458,303
W ,Jared Young DH | NYM,314,46,80,45,16,1,18,49,37,90,4,1,.255,.339,.484,304
W ,Michael Toglia 1B | CIN ,375,48,82,44,16,2,20,54,50,138,7,1,.219,.312,.432,305
W ,"Eli White LF,RF | ATL ",329,47,84,51,16,5,12,44,23,84,12,2,.255,.310,.444,306
W ,Warming Bernabel 1B | WAS ,415,53,107,67,24,2,14,53,34,94,3,1,.258,.318,.426,307
W ,Will Brennan RF | SF,389,49,107,72,20,3,12,42,28,80,6,4,.275,.329,.434,309
W ,Blake Perkins CF | MIL,377,52,88,61,15,4,8,45,36,109,17,4,.233,.303,.358,310
W ,"Edmundo Sosa 2B,3B,SS | PHI",391,48,98,63,18,4,13,51,22,98,7,2,.251,.299,.417,311
W ,Andres Chaparro 1B | WAS,386,47,98,61,22,1,14,55,31,90,3,1,.254,.321,.425,312
W ,"Grant McCray LF,RF | SF",370,49,87,54,15,5,13,43,32,116,12,2,.235,.299,.408,313
W ,"Dylan Carlson LF,CF,RF | CHC ",373,44,92,55,21,2,14,52,36,92,6,3,.247,.321,.426,314
W ,"Dane Myers LF,CF,RF | CIN ",376,41,86,60,14,1,11,40,34,120,19,6,.229,.300,.359,315
W ,Johan Rojas CF | PHI ,328,43,80,61,11,3,5,34,20,84,23,3,.244,.292,.342,316
W ,Kevin Alcantara CF | CHC ,313,45,78,47,16,2,13,41,30,80,9,2,.249,.321,.438,317
W ,Endy Rodriguez 1B | PIT,376,47,97,61,22,1,13,50,40,94,3,1,.258,.333,.425,318
W ,James McCann C | ARI,322,49,83,54,15,0,14,48,29,86,1,0,.258,.326,.435,319
W ,"Will Wagner 1B,3B | SD",370,50,101,66,25,1,9,44,34,84,4,1,.273,.341,.419,321
W ,Dominic Smith 1B | ATL ,392,45,99,64,23,0,12,55,36,90,3,1,.253,.320,.403,322
W ,Nick Yorke 2B | PIT ,322,43,85,58,15,1,11,38,27,74,9,2,.264,.324,.419,323
W ,"Jorge Barrosa LF,CF | ARI ",322,46,78,48,16,2,12,44,30,85,8,2,.242,.304,.416,324
W ,"Ildemaro Vargas 1B,2B | ARI ",331,42,89,68,12,1,8,47,26,56,7,3,.269,.326,.384,325
W ,"Brandon Lockridge LF,CF,RF | MIL ",324,45,77,51,15,2,9,41,26,89,13,3,.238,.298,.380,326
W ,Eric Haase C | SF ,313,43,80,50,16,1,13,47,25,94,2,0,.256,.321,.438,327
W ,Luis Campusano DH | SD,373,48,92,58,21,1,12,50,33,85,2,0,.247,.313,.405,328
W ,Tyler Black 1B | MIL ,317,42,81,52,17,1,11,45,33,80,5,1,.256,.332,.420,329
W ,Nathan Church CF | STL ,313,42,78,50,15,2,11,40,26,84,8,2,.249,.312,.415,330
W ,Mike Siani CF | LAD,317,42,76,58,11,1,6,32,30,94,18,3,.240,.312,.338,331
W ,Joey Wiemer RF | WAS,323,41,79,51,15,2,11,41,23,91,7,2,.245,.294,.406,332
W ,"Miguel Rojas 2B,3B,SS | LAD",322,42,87,60,18,1,8,36,30,58,7,1,.270,.334,.407,333
